Sl. No.,Year,State,Number of Fatal accident,Number of Serious accident,Total Accidents,Fatal_Accident_Ratio,Total_Accident_Change,Fatal_Accident_Change,Serious_Accident_Change,State_Avg_Total_Accidents,State_Accident_Std,Accident_Deviation,Data_Available,Accident_ZScore,Absolute_Accident_ZScore,State_Accident_Deviation,State_Accident_ZScore,Absolute_State_Accident_ZScore,Accident_Anomaly,Accident_Anomaly_Category,Accident_Pattern,Fatality_Risk_Pattern,Accident_Trend
53,2023,Uttar Pradesh,1,6,7,0.1428571428571428,6.0,1.0,5.0,2.5,2.258317958127243,4.5,1,-0.37761774383106195,0.37761774383106195,4.5,1.9926334924652145,1.9926334924652145,0,Normal,Higher than state average,Lower fatal accident proportion,Increasing
51,2023,Jharkhand,8,3,11,0.7272727272727273,-12.0,1.0,-13.0,19.33333333333333,4.589843860815601,-8.333333333333332,1,-0.2771506376741739,0.2771506376741739,-8.333333333333332,-1.815602793044146,1.815602793044146,0,Normal,Lower than state average,Higher fatal accident proportion,Decreasing
40,2022,Chhattisgarh,4,19,23,0.1739130434782608,8.0,-1.0,9.0,17.0,3.3466401061363023,6.0,1,0.024250680796490197,0.024250680796490197,6.0,1.7928429140015905,1.7928429140015905,0,Normal,Higher than state average,Lower fatal accident proportion,Increasing
7,2018,Telangana,8,207,215,0.0372093023255813,,,,126.5,53.33197914947466,88.5,1,4.846671776327115,4.846671776327115,88.5,1.6594171341730857,1.6594171341730857,0,Normal,Higher than state average,Lower fatal accident proportion,No previous year data
55,2023,Maharashtra,2,2,4,0.5,-4.0,2.0,-6.0,9.5,3.9370039370059056,-5.5,1,-0.45296807344872797,0.45296807344872797,-5.5,-1.3970013970020956,1.3970013970020956,0,Normal,Lower than state average,Higher fatal accident proportion,Decreasing
14,2019,Maharashtra,3,12,15,0.2,2.0,1.0,1.0,9.5,3.9370039370059056,5.5,1,-0.17668353151728586,0.17668353151728586,5.5,1.3970013970020956,1.3970013970020956,0,Normal,Higher than state average,Lower fatal accident proportion,Increasing
38,2021,West Bengal,10,10,20,0.5,6.0,4.0,2.0,13.333333333333334,5.316640543300503,6.666666666666666,1,-0.051099648821175826,0.051099648821175826,6.666666666666666,1.2539246564387978,1.2539246564387978,0,Normal,Higher than state average,Higher fatal accident proportion,Increasing
54,2023,Chhattisgarh,2,11,13,0.1538461538461538,-10.0,-2.0,-8.0,17.0,3.3466401061363023,-4.0,1,-0.22691708459572987,0.22691708459572987,-4.0,-1.1952286093343936,1.1952286093343936,0,Normal,Lower than state average,Lower fatal accident proportion,Decreasing
50,2023,West Bengal,4,3,7,0.5714285714285714,-4.0,2.0,-6.0,13.333333333333334,5.316640543300503,-6.333333333333334,1,-0.37761774383106195,0.37761774383106195,-6.333333333333334,-1.191228423616858,1.191228423616858,0,Normal,Lower than state average,Higher fatal accident proportion,Decreasing
44,2022,Orissa,0,4,4,0.0,-1.0,-2.0,1.0,7.0,2.549509756796392,-3.0,1,-0.45296807344872797,0.45296807344872797,-3.0,-1.1766968108291045,1.1766968108291045,0,Normal,Lower than state average,Lower fatal accident proportion,Decreasing
6,2018,Orissa,8,2,10,0.8,,,,7.0,2.549509756796392,3.0,1,-0.3022674142133959,0.3022674142133959,3.0,1.1766968108291045,1.1766968108291045,0,Normal,Higher than state average,Higher fatal accident proportion,No previous year data
58,2023,Telangana,5,59,64,0.078125,-42.0,0.0,-42.0,126.5,53.33197914947466,-62.5,1,1.0540385189045924,1.0540385189045924,-62.5,-1.171904755771953,1.171904755771953,0,Normal,Lower than state average,Lower fatal accident proportion,Decreasing
52,2023,Madhya Pradesh,2,5,7,0.2857142857142857,-17.0,-4.0,-13.0,16.333333333333332,8.140434058861153,-9.333333333333332,1,-0.37761774383106195,0.37761774383106195,-9.333333333333332,-1.146540008290303,1.146540008290303,0,Normal,Lower than state average,Lower fatal accident proportion,Decreasing
20,2019,West Bengal,8,11,19,0.4210526315789473,10.0,7.0,3.0,13.333333333333334,5.316640543300503,5.666666666666666,1,-0.07621642536039784,0.07621642536039784,5.666666666666666,1.0658359579729781,1.0658359579729781,0,Normal,Higher than state average,Higher fatal accident proportion,Increasing
42,2022,Madhya Pradesh,6,18,24,0.25,1.0,-1.0,2.0,16.333333333333332,8.140434058861153,7.666666666666668,1,0.049367457335712205,0.049367457335712205,7.666666666666668,0.9418007210956063,0.9418007210956063,0,Normal,Higher than state average,Lower fatal accident proportion,Increasing
4,2018,Madhya Pradesh,7,17,24,0.2916666666666667,,,,16.333333333333332,8.140434058861153,7.666666666666668,1,0.049367457335712205,0.049367457335712205,7.666666666666668,0.9418007210956063,0.9418007210956063,0,Normal,Higher than state average,Lower fatal accident proportion,No previous year data
24,2020,Madhya Pradesh,4,5,9,0.4444444444444444,-2.0,1.0,-3.0,16.333333333333332,8.140434058861153,-7.333333333333332,1,-0.32738419075261793,0.32738419075261793,-7.333333333333332,-0.9008528636566667,0.9008528636566667,0,Normal,Lower than state average,Higher fatal accident proportion,Decreasing
5,2018,Maharashtra,2,11,13,0.1538461538461538,,,,9.5,3.9370039370059056,3.5,1,-0.22691708459572987,0.22691708459572987,3.5,0.8890008890013334,0.8890008890013334,0,Normal,Higher than state average,Lower fatal accident proportion,No previous year data
32,2021,Madhya Pradesh,7,16,23,0.3043478260869565,14.0,3.0,11.0,16.333333333333332,8.140434058861153,6.666666666666668,1,0.024250680796490197,0.024250680796490197,6.666666666666668,0.8189571487787881,0.8189571487787881,0,Normal,Higher than state average,Higher fatal accident proportion,Increasing
10,2018,West Bengal,1,8,9,0.1111111111111111,,,,13.333333333333334,5.316640543300503,-4.333333333333334,1,-0.32738419075261793,0.32738419075261793,-4.333333333333334,-0.8150510266852187,0.8150510266852187,0,Normal,Lower than state average,Lower fatal accident proportion,No previous year data
3,2018,Jharkhand,9,14,23,0.391304347826087,,,,19.33333333333333,4.589843860815601,3.666666666666668,1,0.024250680796490197,0.024250680796490197,3.666666666666668,0.7988652289394247,0.7988652289394247,0,Normal,Higher than state average,Higher fatal accident proportion,No previous year data
41,2022,Jharkhand,7,16,23,0.3043478260869565,1.0,0.0,1.0,19.33333333333333,4.589843860815601,3.666666666666668,1,0.024250680796490197,0.024250680796490197,3.666666666666668,0.7988652289394247,0.7988652289394247,0,Normal,Higher than state average,Higher fatal accident proportion,Increasing
34,2021,Orissa,2,3,5,0.4,-2.0,-3.0,1.0,7.0,2.549509756796392,-2.0,1,-0.42785129690950596,0.42785129690950596,-2.0,-0.7844645405527363,0.7844645405527363,0,Normal,Lower than state average,Higher fatal accident proportion,Decreasing
15,2019,Orissa,7,2,9,0.7777777777777778,-1.0,-1.0,0.0,7.0,2.549509756796392,2.0,1,-0.32738419075261793,0.32738419075261793,2.0,0.7844645405527363,0.7844645405527363,0,Normal,Higher than state average,Higher fatal accident proportion,Decreasing
22,2020,Gujarat,0,1,1,0.0,-1.0,-1.0,0.0,1.5,0.7071067811865476,-0.5,1,-0.528318403066394,0.528318403066394,-0.5,-0.7071067811865475,0.7071067811865475,0,Normal,Lower than state average,Lower fatal accident proportion,Decreasing
2,2018,Gujarat,1,1,2,0.5,,,,1.5,0.7071067811865476,0.5,1,-0.5032016265271719,0.5032016265271719,0.5,0.7071067811865475,0.7071067811865475,0,Normal,Higher than state average,Higher fatal accident proportion,No previous year data
27,2020,Telangana,9,80,89,0.1011235955056179,-62.0,1.0,-63.0,126.5,53.33197914947466,-37.5,1,1.6819579323851426,1.6819579323851426,-37.5,-0.7031428534631718,0.7031428534631718,0,Normal,Lower than state average,Lower fatal accident proportion,Decreasing
48,2022,Uttar Pradesh,0,1,1,0.0,-1.0,-1.0,0.0,2.5,2.258317958127243,-1.5,1,-0.528318403066394,0.528318403066394,-1.5,-0.6642111641550715,0.6642111641550715,0,Normal,Lower than state average,Lower fatal accident proportion,Decreasing
9,2018,Uttar Pradesh,1,0,1,1.0,,,,2.5,2.258317958127243,-1.5,1,-0.528318403066394,0.528318403066394,-1.5,-0.6642111641550715,0.6642111641550715,0,Normal,Lower than state average,Higher fatal accident proportion,No previous year data
13,2019,Madhya Pradesh,3,8,11,0.2727272727272727,-13.0,-4.0,-9.0,16.333333333333332,8.140434058861153,-5.333333333333332,1,-0.2771506376741739,0.2771506376741739,-5.333333333333332,-0.6551657190230302,0.6551657190230302,0,Normal,Lower than state average,Lower fatal accident proportion,Decreasing
30,2021,Chhattisgarh,5,10,15,0.3333333333333333,-2.0,-7.0,5.0,17.0,3.3466401061363023,-2.0,1,-0.17668353151728586,0.17668353151728586,-2.0,-0.5976143046671968,0.5976143046671968,0,Normal,Lower than state average,Higher fatal accident proportion,Decreasing
31,2021,Jharkhand,7,15,22,0.3181818181818182,3.0,-1.0,4.0,19.33333333333333,4.589843860815601,2.666666666666668,1,-0.0008660957427318118,0.0008660957427318118,2.666666666666668,0.5809928937741271,0.5809928937741271,0,Normal,Higher than state average,Higher fatal accident proportion,Increasing
17,2019,Telangana,8,143,151,0.0529801324503311,-64.0,0.0,-64.0,126.5,53.33197914947466,24.5,1,3.239198077816907,3.239198077816907,24.5,0.4593866642626056,0.4593866642626056,0,Normal,Higher than state average,Lower fatal accident proportion,Decreasing
49,2022,West Bengal,2,9,11,0.1818181818181818,-9.0,-8.0,-1.0,13.333333333333334,5.316640543300503,-2.333333333333334,1,-0.2771506376741739,0.2771506376741739,-2.333333333333334,-0.43887362975357935,0.43887362975357935,0,Normal,Lower than state average,Lower fatal accident proportion,Decreasing
46,2022,Telangana,5,101,106,0.0471698113207547,-28.0,-2.0,-26.0,126.5,53.33197914947466,-20.5,1,2.1089431335519166,2.1089431335519166,-20.5,-0.38438475989320064,0.38438475989320064,0,Normal,Lower than state average,Lower fatal accident proportion,Decreasing
43,2022,Maharashtra,0,8,8,0.0,-1.0,-4.0,3.0,9.5,3.9370039370059056,-1.5,1,-0.35250096729183994,0.35250096729183994,-1.5,-0.3810003810005715,0.3810003810005715,0,Normal,Lower than state average,Lower fatal accident proportion,Decreasing
25,2020,Maharashtra,4,4,8,0.5,-7.0,1.0,-8.0,9.5,3.9370039370059056,-1.5,1,-0.35250096729183994,0.35250096729183994,-1.5,-0.3810003810005715,0.3810003810005715,0,Normal,Lower than state average,Higher fatal accident proportion,Decreasing
12,2019,Jharkhand,11,7,18,0.6111111111111112,-5.0,2.0,-7.0,19.33333333333333,4.589843860815601,-1.333333333333332,1,-0.10133320189961985,0.10133320189961985,-1.333333333333332,-0.2904964468870631,0.2904964468870631,0,Normal,Lower than state average,Higher fatal accident proportion,Decreasing
37,2021,Uttar Pradesh,1,1,2,0.5,0.0,1.0,-1.0,2.5,2.258317958127243,-0.5,1,-0.5032016265271719,0.5032016265271719,-0.5,-0.22140372138502384,0.22140372138502384,0,Normal,Lower than state average,Higher fatal accident proportion,Stable
19,2019,Uttar Pradesh,2,0,2,1.0,1.0,1.0,0.0,2.5,2.258317958127243,-0.5,1,-0.5032016265271719,0.5032016265271719,-0.5,-0.22140372138502384,0.22140372138502384,0,Normal,Lower than state average,Higher fatal accident proportion,Increasing
28,2020,Uttar Pradesh,0,2,2,0.0,0.0,-2.0,2.0,2.5,2.258317958127243,-0.5,1,-0.5032016265271719,0.5032016265271719,-0.5,-0.22140372138502384,0.22140372138502384,0,Normal,Lower than state average,Lower fatal accident proportion,Stable
35,2021,Telangana,7,127,134,0.0522388059701492,45.0,-2.0,47.0,126.5,53.33197914947466,7.5,1,2.812212876650133,2.812212876650133,7.5,0.14062857069263437,0.14062857069263437,0,Normal,Higher than state average,Lower fatal accident proportion,Increasing
33,2021,Maharashtra,4,5,9,0.4444444444444444,1.0,0.0,1.0,9.5,3.9370039370059056,-0.5,1,-0.32738419075261793,0.32738419075261793,-0.5,-0.1270001270001905,0.1270001270001905,0,Normal,Lower than state average,Higher fatal accident proportion,Increasing
29,2020,West Bengal,6,8,14,0.4285714285714285,-5.0,-2.0,-3.0,13.333333333333334,5.316640543300503,0.6666666666666661,1,-0.20180030805650787,0.20180030805650787,0.6666666666666661,0.12539246564387968,0.12539246564387968,0,Normal,Higher than state average,Higher fatal accident proportion,Decreasing
23,2020,Jharkhand,8,11,19,0.4210526315789473,1.0,-3.0,4.0,19.33333333333333,4.589843860815601,-0.3333333333333321,1,-0.07621642536039784,0.07621642536039784,-0.3333333333333321,-0.07262411172176558,0.07262411172176558,0,Normal,Lower than state average,Higher fatal accident proportion,Increasing
11,2019,Chhattisgarh,7,10,17,0.4117647058823529,0.0,-4.0,4.0,17.0,3.3466401061363023,0.0,1,-0.12644997843884184,0.12644997843884184,0.0,0.0,0.0,0,Normal,Same as state average,Higher fatal accident proportion,Stable
21,2020,Chhattisgarh,12,5,17,0.7058823529411765,0.0,5.0,-5.0,17.0,3.3466401061363023,0.0,1,-0.12644997843884184,0.12644997843884184,0.0,0.0,0.0,0,Normal,Same as state average,Higher fatal accident proportion,Stable
1,2018,Chhattisgarh,11,6,17,0.6470588235294118,,,,17.0,3.3466401061363023,0.0,1,-0.12644997843884184,0.12644997843884184,0.0,0.0,0.0,0,Normal,Same as state average,Higher fatal accident proportion,No previous year data
26,2020,Orissa,5,2,7,0.7142857142857143,-2.0,-2.0,0.0,7.0,2.549509756796392,0.0,1,-0.37761774383106195,0.37761774383106195,0.0,0.0,0.0,0,Normal,Same as state average,Higher fatal accident proportion,Decreasing
39,2022,Andhra Pradesh,0,1,1,0.0,,,,1.0,0.0,0.0,1,-0.528318403066394,0.528318403066394,0.0,,,0,Normal,Same as state average,Lower fatal accident proportion,No previous year data
57,2023,Assam,0,0,0,0.0,,,,0.0,0.0,0.0,1,-0.553435179605616,0.553435179605616,0.0,,,0,Normal,Same as state average,Lower fatal accident proportion,No previous year data
56,2023,Odisha,6,0,6,1.0,,,,6.0,0.0,0.0,1,-0.40273452037028395,0.40273452037028395,0.0,,,0,Normal,Same as state average,Higher fatal accident proportion,No previous year data
16,2019,Rajasthan,1,0,1,1.0,,,,1.0,0.0,0.0,1,-0.528318403066394,0.528318403066394,0.0,,,0,Normal,Same as state average,Higher fatal accident proportion,No previous year data
45,2022,Rajasthan,0,1,1,0.0,0.0,-1.0,1.0,1.0,0.0,0.0,1,-0.528318403066394,0.528318403066394,0.0,,,0,Normal,Same as state average,Lower fatal accident proportion,Stable
8,2018,Tamil Nadu,1,0,1,1.0,,,,1.0,0.0,0.0,1,-0.528318403066394,0.528318403066394,0.0,,,0,Normal,Same as state average,Higher fatal accident proportion,No previous year data
18,2019,Tamil Nadu,1,0,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1,-0.528318403066394,0.528318403066394,0.0,,,0,Normal,Same as state average,Higher fatal accident proportion,Stable
36,2021,Tamil Nadu,0,1,1,0.0,0.0,-1.0,1.0,1.0,0.0,0.0,1,-0.528318403066394,0.528318403066394,0.0,,,0,Normal,Same as state average,Lower fatal accident proportion,Stable
47,2022,Tamil Nadu,0,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,-0.528318403066394,0.528318403066394,0.0,,,0,Normal,Same as state average,Lower fatal accident proportion,Stable
