Sl. No.,Year,State,Number of Fatal accident,Number of Serious accident,Total Accidents,Fatal_Accident_Ratio,Total_Accident_Change,Fatal_Accident_Change,Serious_Accident_Change,State_Avg_Total_Accidents,State_Accident_Std,Accident_Deviation,Data_Available
39,2022,Andhra Pradesh,0,1,1,0.0,,,,1.0,0.0,0.0,1
57,2023,Assam,0,0,0,0.0,,,,0.0,0.0,0.0,1
1,2018,Chhattisgarh,11,6,17,0.6470588235294118,,,,17.0,3.3466401061363023,0.0,1
11,2019,Chhattisgarh,7,10,17,0.4117647058823529,0.0,-4.0,4.0,17.0,3.3466401061363023,0.0,1
21,2020,Chhattisgarh,12,5,17,0.7058823529411765,0.0,5.0,-5.0,17.0,3.3466401061363023,0.0,1
30,2021,Chhattisgarh,5,10,15,0.3333333333333333,-2.0,-7.0,5.0,17.0,3.3466401061363023,-2.0,1
40,2022,Chhattisgarh,4,19,23,0.17391304347826086,8.0,-1.0,9.0,17.0,3.3466401061363023,6.0,1
54,2023,Chhattisgarh,2,11,13,0.15384615384615385,-10.0,-2.0,-8.0,17.0,3.3466401061363023,-4.0,1
2,2018,Gujarat,1,1,2,0.5,,,,1.5,0.7071067811865476,0.5,1
22,2020,Gujarat,0,1,1,0.0,-1.0,-1.0,0.0,1.5,0.7071067811865476,-0.5,1
3,2018,Jharkhand,9,14,23,0.391304347826087,,,,19.333333333333332,4.589843860815601,3.666666666666668,1
12,2019,Jharkhand,11,7,18,0.6111111111111112,-5.0,2.0,-7.0,19.333333333333332,4.589843860815601,-1.3333333333333321,1
23,2020,Jharkhand,8,11,19,0.42105263157894735,1.0,-3.0,4.0,19.333333333333332,4.589843860815601,-0.33333333333333215,1
31,2021,Jharkhand,7,15,22,0.3181818181818182,3.0,-1.0,4.0,19.333333333333332,4.589843860815601,2.666666666666668,1
41,2022,Jharkhand,7,16,23,0.30434782608695654,1.0,0.0,1.0,19.333333333333332,4.589843860815601,3.666666666666668,1
51,2023,Jharkhand,8,3,11,0.7272727272727273,-12.0,1.0,-13.0,19.333333333333332,4.589843860815601,-8.333333333333332,1
4,2018,Madhya Pradesh,7,17,24,0.2916666666666667,,,,16.333333333333332,8.140434058861153,7.666666666666668,1
13,2019,Madhya Pradesh,3,8,11,0.2727272727272727,-13.0,-4.0,-9.0,16.333333333333332,8.140434058861153,-5.333333333333332,1
24,2020,Madhya Pradesh,4,5,9,0.4444444444444444,-2.0,1.0,-3.0,16.333333333333332,8.140434058861153,-7.333333333333332,1
32,2021,Madhya Pradesh,7,16,23,0.30434782608695654,14.0,3.0,11.0,16.333333333333332,8.140434058861153,6.666666666666668,1
42,2022,Madhya Pradesh,6,18,24,0.25,1.0,-1.0,2.0,16.333333333333332,8.140434058861153,7.666666666666668,1
52,2023,Madhya Pradesh,2,5,7,0.2857142857142857,-17.0,-4.0,-13.0,16.333333333333332,8.140434058861153,-9.333333333333332,1
5,2018,Maharashtra,2,11,13,0.15384615384615385,,,,9.5,3.9370039370059056,3.5,1
14,2019,Maharashtra,3,12,15,0.2,2.0,1.0,1.0,9.5,3.9370039370059056,5.5,1
25,2020,Maharashtra,4,4,8,0.5,-7.0,1.0,-8.0,9.5,3.9370039370059056,-1.5,1
33,2021,Maharashtra,4,5,9,0.4444444444444444,1.0,0.0,1.0,9.5,3.9370039370059056,-0.5,1
43,2022,Maharashtra,0,8,8,0.0,-1.0,-4.0,3.0,9.5,3.9370039370059056,-1.5,1
55,2023,Maharashtra,2,2,4,0.5,-4.0,2.0,-6.0,9.5,3.9370039370059056,-5.5,1
56,2023,Odisha,6,0,6,1.0,,,,6.0,0.0,0.0,1
6,2018,Orissa,8,2,10,0.8,,,,7.0,2.5495097567963922,3.0,1
15,2019,Orissa,7,2,9,0.7777777777777778,-1.0,-1.0,0.0,7.0,2.5495097567963922,2.0,1
