Mine Name,Mine_Type,Overall_Risk_Score,Risk_Category,Risk_Drivers,Confidence_Score,Inspection_Priority,AI_Preventive_Recommendation
Aadocm,Opencast,1.5932783352951851,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
ABGC,Opencast,3.761386501363512,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Adasa (UG to OC),Opencast,,Insufficient Evidence,No major risk indicator,0.0,INSUFFICIENT EVIDENCE,Collect additional evidence before making a risk-based inspection decision.
Adriyala Saft Project,Underground,10.747512814250374,LOW,Peer production anomaly,60.0,LOW,Review recent production trends and investigate unusual operational deviations. Compare production activity with similar mines and review the cause of significant peer deviation. No immediate high-risk indicator detected; continue routine monitoring.
AGKCC,Opencast,7.85670192615926,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
AKK OCP,Opencast,28.09237814279707,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
AKWMC,Opencast,22.069855459273917,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Amadand,Opencast,7.320055236319095,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Amagamated Dhansar-Industry,Opencast,1.3523774279542475,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Amalgamated BOCP,Opencast,,Insufficient Evidence,No major risk indicator,0.0,INSUFFICIENT EVIDENCE,Collect additional evidence before making a risk-based inspection decision.
Amalgamated Gondegaon Ghatrohana,Opencast,4.965891038068143,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Amalgamated Inder Kamptee OCM,Opencast,9.006361587705584,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Amalgamated Yekona I & II,Opencast,4.965891038068143,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Amalgameted Sudamdih-Patherdih,Opencast,5.447692852749995,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Amelia (North ) Coal Mine,Opencast,8.524559773023729,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Amelia Coal Block,Opencast,17.67879425197893,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Amera,Opencast,1.7793343674777924,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Amgaon,Opencast,1.29753255279594,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Amlai OC,Opencast,4.965891038068143,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Amlohri,Opencast,4.965891038068143,LOW,Peer production anomaly,60.0,LOW,Review recent production trends and investigate unusual operational deviations. Compare production activity with similar mines and review the cause of significant peer deviation. No immediate high-risk indicator detected; continue routine monitoring.
AMP Colliery,Mixed,65.6180748128233,HIGH,"Operational indicator, Peer production anomaly",60.0,MEDIUM,Review recent production trends and investigate unusual operational deviations. Compare production activity with similar mines and review the cause of significant peer deviation. Prioritize further assessment and focused inspection based on the identified risk indicators.
Amrapali OCP,Opencast,100.0,CRITICAL,"Operational indicator, Peer production anomaly",60.0,HIGH,Review recent production trends and investigate unusual operational deviations. Compare production activity with similar mines and review the cause of significant peer deviation. Prioritize focused inspection and immediate further assessment of the identified risk indicators.
Amritnagar Colliery,Underground,5.206791945409067,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
