Mine Name,CAAQMS_Source_Name,CAAQMS_Match_Type,Environmental_Anomaly,Environmental_Risk_Score,Environmental_Min_Anomaly_Score,Environmental_Anomaly_Count,Environmental_Observations,Environmental_Anomaly_Rate,Environmental_Available,Production_Source_Name,Production_Match_Type,Operational_ZScore,Operational_Absolute_ZScore,Operational_Anomaly,Operational_Anomaly_Category,Operational_Anomaly_Reason,Operational_Change,Data_Sufficient,Operational_Available,Evidence_Count,Evidence_Coverage,Evidence_Status,Safety_Evidence_Available,Safety_Evidence_Status
Aadocm,,,,,,,,,0,Aadocm,Contextual_Fuzzy,-0.0637311334118074,0.0637311334118074,0.0,Normal,Latest production change is within the normal range of observed production changes.,0.1399999999999996,True,1,1,50.0,Operational Only,0,Mine-level safety evidence unavailable
ABGC,,,,,,,,,0,ABGC,Contextual_Fuzzy,-0.1504554600545405,0.1504554600545405,0.0,Normal,Latest production change is within the normal range of observed production changes.,0.05,True,1,1,50.0,Operational Only,0,Mine-level safety evidence unavailable
Adasa (UG to OC),,,,,,,,,0,,,,,,,,,,0,0,0.0,Insufficient Evidence,0,Mine-level safety evidence unavailable
Adriyala Saft Project,,,,,,,,,0,Adriyala Saft Project,Contextual_Fuzzy,-0.429900512570015,0.429900512570015,0.0,Normal,Latest production change is within the normal range of observed production changes.,-0.24,True,1,1,50.0,Operational Only,0,Mine-level safety evidence unavailable
AGKCC,,,,,,,,,0,AGKCC,Contextual_Fuzzy,-0.3142680770463704,0.3142680770463704,0.0,Normal,Latest production change is within the normal range of observed production changes.,-0.12,True,1,1,50.0,Operational Only,0,Mine-level safety evidence unavailable
AKK OCP,,,,,,,,,0,AKK OCP,Contextual_Fuzzy,-1.1236951257118828,1.1236951257118828,0.0,Normal,Latest production change is within the normal range of observed production changes.,-0.96,True,1,1,50.0,Operational Only,0,Mine-level safety evidence unavailable
AKWMC,,,,,,,,,0,AKWMC,Contextual_Fuzzy,-0.8827942183709565,0.8827942183709565,0.0,Normal,Latest production change is within the normal range of observed production changes.,-0.71,True,1,1,50.0,Operational Only,0,Mine-level safety evidence unavailable
Amadand,,,,,,,,,0,Amadand,Contextual_Fuzzy,0.2928022094527638,0.2928022094527638,0.0,Normal,Latest production change is within the normal range of observed production changes.,0.5099999999999999,True,1,1,50.0,Operational Only,0,Mine-level safety evidence unavailable
Amagamated Dhansar-Industry,,,,,,,,,0,Amagamated Dhansar-Industry,Contextual_Fuzzy,-0.0540950971181699,0.0540950971181699,0.0,Normal,Latest production change is within the normal range of observed production changes.,0.15,True,1,1,50.0,Operational Only,0,Mine-level safety evidence unavailable
Amalgamated BOCP,,,,,,,,,0,,,,,,,,,,0,0,0.0,Insufficient Evidence,0,Mine-level safety evidence unavailable
