Mine Name,Overall_Risk_Score,Risk_Category,Confidence_Score,Confidence_Category,Evidence_Coverage,Evidence_Status,Inspection_Priority,Priority_Score,Priority_Reason,AI_Recommendation
Aadocm,1.5932783352951851,LOW,60.0,Moderate,50.0,Operational Only,LOW,1.5932783352951851,Low risk indicator (risk score 1.59); no immediate high-risk indicator detected.,No Immediate High-Risk Indicator Detected
ABGC,3.761386501363512,LOW,60.0,Moderate,50.0,Operational Only,LOW,3.761386501363512,Low risk indicator (risk score 3.76); no immediate high-risk indicator detected.,No Immediate High-Risk Indicator Detected
Adasa (UG to OC),,Insufficient Evidence,0.0,Insufficient Evidence,0.0,Insufficient Evidence,INSUFFICIENT EVIDENCE,,Insufficient evidence available to determine inspection priority.,Insufficient Evidence for Risk Assessment
Adriyala Saft Project,10.747512814250374,LOW,60.0,Moderate,50.0,Operational Only,LOW,10.747512814250374,Low risk indicator (risk score 10.75); no immediate high-risk indicator detected.,No Immediate High-Risk Indicator Detected
AGKCC,7.85670192615926,LOW,60.0,Moderate,50.0,Operational Only,LOW,7.85670192615926,Low risk indicator (risk score 7.86); no immediate high-risk indicator detected.,No Immediate High-Risk Indicator Detected
AKK OCP,28.09237814279707,LOW,60.0,Moderate,50.0,Operational Only,LOW,28.09237814279707,Low risk indicator (risk score 28.09); no immediate high-risk indicator detected.,No Immediate High-Risk Indicator Detected
AKWMC,22.069855459273917,LOW,60.0,Moderate,50.0,Operational Only,LOW,22.069855459273917,Low risk indicator (risk score 22.07); no immediate high-risk indicator detected.,No Immediate High-Risk Indicator Detected
Amadand,7.320055236319095,LOW,60.0,Moderate,50.0,Operational Only,LOW,7.320055236319095,Low risk indicator (risk score 7.32); no immediate high-risk indicator detected.,No Immediate High-Risk Indicator Detected
Amagamated Dhansar-Industry,1.3523774279542475,LOW,60.0,Moderate,50.0,Operational Only,LOW,1.3523774279542475,Low risk indicator (risk score 1.35); no immediate high-risk indicator detected.,No Immediate High-Risk Indicator Detected
Amalgamated BOCP,,Insufficient Evidence,0.0,Insufficient Evidence,0.0,Insufficient Evidence,INSUFFICIENT EVIDENCE,,Insufficient evidence available to determine inspection priority.,Insufficient Evidence for Risk Assessment
Amalgamated Gondegaon Ghatrohana,4.965891038068143,LOW,60.0,Moderate,50.0,Operational Only,LOW,4.965891038068143,Low risk indicator (risk score 4.97); no immediate high-risk indicator detected.,No Immediate High-Risk Indicator Detected
Amalgamated Inder Kamptee OCM,9.006361587705584,LOW,60.0,Moderate,50.0,Operational Only,LOW,9.006361587705584,Low risk indicator (risk score 9.01); no immediate high-risk indicator detected.,No Immediate High-Risk Indicator Detected
Amalgamated Yekona I & II,4.965891038068143,LOW,60.0,Moderate,50.0,Operational Only,LOW,4.965891038068143,Low risk indicator (risk score 4.97); no immediate high-risk indicator detected.,No Immediate High-Risk Indicator Detected
Amalgameted Sudamdih-Patherdih,5.447692852749995,LOW,60.0,Moderate,50.0,Operational Only,LOW,5.447692852749995,Low risk indicator (risk score 5.45); no immediate high-risk indicator detected.,No Immediate High-Risk Indicator Detected
Amelia (North ) Coal Mine,8.524559773023729,LOW,60.0,Moderate,50.0,Operational Only,LOW,8.524559773023729,Low risk indicator (risk score 8.52); no immediate high-risk indicator detected.,No Immediate High-Risk Indicator Detected
Amelia Coal Block,17.67879425197893,LOW,60.0,Moderate,50.0,Operational Only,LOW,17.67879425197893,Low risk indicator (risk score 17.68); no immediate high-risk indicator detected.,No Immediate High-Risk Indicator Detected
Amera,1.7793343674777924,LOW,60.0,Moderate,50.0,Operational Only,LOW,1.7793343674777924,Low risk indicator (risk score 1.78); no immediate high-risk indicator detected.,No Immediate High-Risk Indicator Detected
Amgaon,1.29753255279594,LOW,60.0,Moderate,50.0,Operational Only,LOW,1.29753255279594,Low risk indicator (risk score 1.30); no immediate high-risk indicator detected.,No Immediate High-Risk Indicator Detected
Amlai OC,4.965891038068143,LOW,60.0,Moderate,50.0,Operational Only,LOW,4.965891038068143,Low risk indicator (risk score 4.97); no immediate high-risk indicator detected.,No Immediate High-Risk Indicator Detected
Amlohri,4.965891038068143,LOW,60.0,Moderate,50.0,Operational Only,LOW,4.965891038068143,Low risk indicator (risk score 4.97); no immediate high-risk indicator detected.,No Immediate High-Risk Indicator Detected
AMP Colliery,65.6180748128233,HIGH,60.0,Moderate,50.0,Operational Only,MEDIUM,65.6180748128233,Moderate risk indicator detected (risk score 65.62). Monitoring and review recommended.,Further Assessment Required
Amrapali OCP,100.0,CRITICAL,60.0,Moderate,50.0,Operational Only,HIGH,100.0,High risk indicator detected (risk score 100.00). Further assessment should be prioritized.,Priority Inspection / Further Assessment Required
Amritnagar Colliery,5.206791945409067,LOW,60.0,Moderate,50.0,Operational Only,LOW,5.206791945409067,Low risk indicator (risk score 5.21); no immediate high-risk indicator detected.,No Immediate High-Risk Indicator Detected
Ananta OCP,64.89537209080046,HIGH,60.0,Moderate,50.0,Operational Only,MEDIUM,64.89537209080046,Moderate risk indicator detected (risk score 64.90). Monitoring and review recommended.,Further Assessment Required
