Mine Name,Company Name,State,District,Coalfield,Area,Type,Production,Mine_Type,Peer_Mean,Peer_Std,Peer_Count,Peer_Production_ZScore,Peer_Production_Anomaly,Peer_Operational_Risk,Peer_Production_Category,Peer_Production_Direction
Aadocm,CCL,Jharkhand,BOKARO,E. Bokaro,Dhori Area,OC,2.613,Opencast,4.168157205240175,7.919370943015163,229,-0.19637383024870356,0,4.909345756217589,Normal,Lower than peer average
ABGC,BCCL,Jharkhand,DHANBAD,Jharia,Govindpur,OC,0.228,Opencast,4.168157205240175,7.919370943015163,229,-0.49753411395830244,0,12.43835284895756,Normal,Lower than peer average
Adasa (UG to OC),WCL,Maharashtra,NAGPUR,Kamptee/Silewara,Nagpur,OC,0.715,Opencast,4.168157205240175,7.919370943015163,229,-0.4360393306599483,0,10.900983266498708,Normal,Lower than peer average
Adriyala Saft Project,SCCL,Telangana,PEDDAPALLI,Godavari Valley,Adriyala,UG,1.47,Underground,0.2080848484848485,0.3309294635266063,165,3.8132450887489355,1,95.3311272187234,Highly Unusual,Higher than peer average
AGKCC,BCCL,Jharkhand,DHANBAD,Jharia,Katras,OC,0.02,Opencast,4.168157205240175,7.919370943015163,229,-0.5237988263321375,0,13.094970658303437,Normal,Lower than peer average
AKK OCP,CCL,Jharkhand,BOKARO,E. Bokaro,B & K Area,OC,5.36,Opencast,4.168157205240175,7.919370943015163,229,0.1504971548038198,0,3.762428870095495,Normal,Higher than peer average
AKWMC,BCCL,Jharkhand,DHANBAD,Jharia,Katras,OC,3.1,Opencast,4.168157205240175,7.919370943015163,229,-0.13487904695034938,0,3.3719761737587346,Normal,Lower than peer average
Amadand,SECL,Madhya Pradesh,SHAHDOL,Central India,Jamuna & Kotma,OC,1.38,Opencast,4.168157205240175,7.919370943015163,229,-0.3520680146570622,0,8.801700366426555,Normal,Lower than peer average
Amagamated Dhansar-Industry,BCCL,Jharkhand,DHANBAD,Jharia,Kusunda,OC,0.79,Opencast,4.168157205240175,7.919370943015163,229,-0.4265688814866905,0,10.664222037167262,Normal,Lower than peer average
Amalgamated BOCP,BCCL,Jharkhand,DHANBAD,Jharia,Block-II,OC,5.357,Opencast,4.168157205240175,7.919370943015163,229,0.15011833683688947,0,3.7529584209222366,Normal,Higher than peer average
Amalgamated Gondegaon Ghatrohana,WCL,Maharashtra,NAGPUR,Kamptee/Silewara,Nagpur,OC,3.501,Opencast,4.168157205240175,7.919370943015163,229,-0.0842437120373309,0,2.1060928009332724,Normal,Lower than peer average
Amalgamated Inder Kamptee OCM,WCL,Maharashtra,NAGPUR,Kamptee/Silewara,Nagpur,OC,3.09,Opencast,4.168157205240175,7.919370943015163,229,-0.1361417735067838,0,3.403544337669595,Normal,Lower than peer average
Amalgamated Yekona I & II,WCL,Maharashtra,CHANDRAPUR,Wardha,Majri,OC,2.75,Opencast,4.168157205240175,7.919370943015163,229,-0.1790744764255526,0,4.4768619106388154,Normal,Lower than peer average
Amalgameted Sudamdih-Patherdih,BCCL,Jharkhand,DHANBAD,Jharia,E.Jharia,OC,0.411,Opencast,4.168157205240175,7.919370943015163,229,-0.47442621797555334,0,11.860655449388833,Normal,Lower than peer average
Amelia (North ) Coal Mine,JPVL,Madhya Pradesh,SINGRAULI,Singrauli,Singrauli Main Basin,OC,3.92,Opencast,4.168157205240175,7.919370943015163,229,-0.031335469322730514,0,0.7833867330682629,Normal,Lower than peer average
Amelia Coal Block,THDC,Madhya Pradesh,SINGRAULI,Singrauli,Pidarwah,OC,1.251,Opencast,4.168157205240175,7.919370943015163,229,-0.3683571872350657,0,9.208929680876643,Normal,Lower than peer average
Amera,SECL,Chhattisgarh,SURGUJA,Central India,Bisrampur,OC,0.279,Opencast,4.168157205240175,7.919370943015163,229,-0.49109420852048713,0,12.277355213012179,Normal,Lower than peer average
Amgaon,SECL,Chhattisgarh,SURGUJA,Central India,Bisrampur,OC,1.0,Opencast,4.168157205240175,7.919370943015163,229,-0.40005162380156856,0,10.001290595039213,Normal,Lower than peer average
Amlai OC,SECL,Madhya Pradesh,SHAHDOL,Central India,Sohagpur,OC,2.025,Opencast,4.168157205240175,7.919370943015163,229,-0.2706221517670449,0,6.765553794176123,Normal,Lower than peer average
Amlohri,NCL,Madhya Pradesh,SINGRAULI,Singrauli,Amlohri,OC,22.003,Opencast,4.168157205240175,7.919370943015163,229,2.252052962677553,1,56.30132406693883,Unusual,Higher than peer average
AMP Colliery,BCCL,Jharkhand,DHANBAD,Jharia,Barora,Mixed,4.86,Mixed,0.6418571428571429,1.2806088009610512,14,3.2938574637135805,1,82.34643659283951,Highly Unusual,Higher than peer average
Amrapali OCP,CCL,Jharkhand,CHATRA,N.K.Coalfields,Amrapali,OC,22.581,Opencast,4.168157205240175,7.919370943015163,229,2.32503855763946,1,58.1259639409865,Unusual,Higher than peer average
