Source,Source_Mine_Name,Source_Company,Source_State,Master_Mine_Name,Master_Company,Master_State,Master_District,Master_Coalfield,Master_Area,Master_Mine_Type,Master_Ownership,Match_Type,Match_Score,Score_Gap,Review_Required,Mapping_Status
CAAQMS,M/s Dipka Expansion Project South Eastern Coal Fields Limited Dipka Area,SECL,Chhattisgarh,Dipka,SECL,Chhattisgarh,KORBA,Central India,Dipka,Opencast,PUBLIC,Verified_Manual,1.0,1.0,No,Verified
CAAQMS,SECL GEVRA,SECL,Chhattisgarh,Gevra,SECL,Chhattisgarh,KORBA,Central India,Gevra,Opencast,PUBLIC,Verified_Manual,1.0,1.0,No,Verified
CAAQMS,South Eastern Coalfields  Limited - AQMS_H_Q,,,,,,,,,,,Unmatched,0.0,0.0,Yes,Unmatched
Production,5/6 Pit KB,BCCL,Jharkhand,,,,,,,,,Unmatched,0.42,0.0292,Yes,Unmatched
Production,"6 & 7 Pits Colliery,",TSL,Jharkhand,,,,,,,,,Unmatched,0.4253,0.0512,Yes,Unmatched
Production,ABGC,BCCL,Jharkhand,ABGC,BCCL,Jharkhand,DHANBAD,Jharia,Govindpur,Opencast,PUBLIC,Contextual_Fuzzy,1.0,0.42,Yes,Matched_Review
Production,AEB Simlabhal,BCCL,Jharkhand,,,,,,,,,Unmatched,0.4782,0.0255,Yes,Unmatched
Production,AGKCC,BCCL,Jharkhand,AGKCC,BCCL,Jharkhand,DHANBAD,Jharia,Katras,Opencast,PUBLIC,Contextual_Fuzzy,1.0,0.42,Yes,Matched_Review
Production,AKK OCP,CCL,Jharkhand,AKK OCP,CCL,Jharkhand,BOKARO,E. Bokaro,B & K Area,Opencast,PUBLIC,Contextual_Fuzzy,1.0,0.3547,Yes,Matched_Review
Production,AKWMC,BCCL,Jharkhand,AKWMC,BCCL,Jharkhand,DHANBAD,Jharia,Katras,Opencast,PUBLIC,Contextual_Fuzzy,1.0,0.42,Yes,Matched_Review
Production,AMP Colliery,BCCL,Jharkhand,AMP Colliery,BCCL,Jharkhand,DHANBAD,Jharia,Barora,Mixed,PUBLIC,Contextual_Fuzzy,1.0,0.49,Yes,Matched_Review
Production,ARA,CCL,Jharkhand,,,,,,,,,Unmatched,0.615,0.055,Yes,Unmatched
Production,ARA Reorganisation,CCL,Jharkhand,ARA Reorganisation,CCL,Jharkhand,RAMGARH,W.Bokaro,Kuju,Opencast,PUBLIC,Contextual_Fuzzy,1.0,0.52,Yes,Matched_Review
Production,Aadocm,CCL,Jharkhand,Aadocm,CCL,Jharkhand,BOKARO,E. Bokaro,Dhori Area,Opencast,PUBLIC,Contextual_Fuzzy,1.0,0.4375,Yes,Matched_Review
Production,Adasa,WCL,Maharashtra,,,,,,,,,Unmatched,0.5911,0.0811,Yes,Unmatched
Production,Adasa (UG to OC),WCL,Maharashtra,Adasa (UG to OC),WCL,Maharashtra,NAGPUR,Kamptee/Silewara,Nagpur,Opencast,PUBLIC,Contextual_Fuzzy,1.0,0.353,Yes,Matched_Review
