Mine ID,Mine Name,Company Name,State,District,Coalfield,Area,Mine Type,Ownership,Production,Despatch
AADOCM,Aadocm,CCL,Jharkhand,BOKARO,E. Bokaro,Dhori Area,Opencast,PUBLIC,2.613,0
ABGC,ABGC,BCCL,Jharkhand,DHANBAD,Jharia,Govindpur,Opencast,PUBLIC,0.228,0
ADASA_UG_TO_OC,Adasa (UG to OC),WCL,Maharashtra,NAGPUR,Kamptee/Silewara,Nagpur,Opencast,PUBLIC,0.715,0
ADRIYALA_SAFT_PROJECT,Adriyala Saft Project,SCCL,Telangana,PEDDAPALLI,Godavari Valley,Adriyala,Underground,PUBLIC,1.47,0
AGKCC,AGKCC,BCCL,Jharkhand,DHANBAD,Jharia,Katras,Opencast,PUBLIC,0.02,0
AKK_OCP,AKK OCP,CCL,Jharkhand,BOKARO,E. Bokaro,B & K Area,Opencast,PUBLIC,5.36,0
AKWMC,AKWMC,BCCL,Jharkhand,DHANBAD,Jharia,Katras,Opencast,PUBLIC,3.1,0
AMADAND,Amadand,SECL,Madhya Pradesh,SHAHDOL,Central India,Jamuna & Kotma,Opencast,PUBLIC,1.38,0
AMAGAMATED_DHANSAR_INDUSTRY,Amagamated Dhansar-Industry,BCCL,Jharkhand,DHANBAD,Jharia,Kusunda,Opencast,PUBLIC,0.79,0
AMALGAMATED_BOCP,Amalgamated BOCP,BCCL,Jharkhand,DHANBAD,Jharia,Block-II,Opencast,PUBLIC,5.357,0
AMALGAMATED_GONDEGAON_GHATROHANA,Amalgamated Gondegaon Ghatrohana,WCL,Maharashtra,NAGPUR,Kamptee/Silewara,Nagpur,Opencast,PUBLIC,3.501,0
AMALGAMATED_INDER_KAMPTEE_OCM,Amalgamated Inder Kamptee OCM,WCL,Maharashtra,NAGPUR,Kamptee/Silewara,Nagpur,Opencast,PUBLIC,3.09,0
AMALGAMATED_YEKONA_I_II,Amalgamated Yekona I & II,WCL,Maharashtra,CHANDRAPUR,Wardha,Majri,Opencast,PUBLIC,2.75,0
AMALGAMETED_SUDAMDIH_PATHERDIH,Amalgameted Sudamdih-Patherdih,BCCL,Jharkhand,DHANBAD,Jharia,E.Jharia,Opencast,PUBLIC,0.411,0
AMELIA_NORTH_COAL_MINE,Amelia (North ) Coal Mine,JPVL,Madhya Pradesh,SINGRAULI,Singrauli,Singrauli Main Basin,Opencast,PRIVATE,3.92,0
AMELIA_COAL_BLOCK,Amelia Coal Block,THDC,Madhya Pradesh,SINGRAULI,Singrauli,Pidarwah,Opencast,PUBLIC,1.251,0
AMERA,Amera,SECL,Chhattisgarh,SURGUJA,Central India,Bisrampur,Opencast,PUBLIC,0.279,0
AMGAON,Amgaon,SECL,Chhattisgarh,SURGUJA,Central India,Bisrampur,Opencast,PUBLIC,1.0,0
AMLAI_OC,Amlai OC,SECL,Madhya Pradesh,SHAHDOL,Central India,Sohagpur,Opencast,PUBLIC,2.025,0
AMLOHRI,Amlohri,NCL,Madhya Pradesh,SINGRAULI,Singrauli,Amlohri,Opencast,PUBLIC,22.003,0
AMP_COLLIERY,AMP Colliery,BCCL,Jharkhand,DHANBAD,Jharia,Barora,Mixed,PUBLIC,4.86,0
AMRAPALI_OCP,Amrapali OCP,CCL,Jharkhand,CHATRA,N.K.Coalfields,Amrapali,Opencast,PUBLIC,22.581,0
