Producing Mine,State,Company,Production_2021_22,Production_2022_23,Production_2023_24,Change_2021_22_to_2022_23,Change_2022_23_to_2023_24,Percentage_Change_21_22_to_22_23,Percentage_Change_22_23_to_23_24,Production_Mean,Production_Std,Observation_Count,Zero_Production_Count,Latest_Production_Change,Latest_Percentage_Change,Production_ZScore,Absolute_Production_ZScore,Production_Anomaly,Production_Change_Direction,Production_Anomaly_Category,Production_Anomaly_Reason,Data_Sufficient
Kusmunda Project,Chhattisgarh,SECL,29.9,43.05,50.13,13.15,7.080000000000005,43.97993311036789,16.4459930313589,41.02666666666666,10.265653088495313,3,0,7.080000000000005,16.4459930313589,6.623678054372313,6.623678054372313,1,Increase,Highly Unusual,Production increased by 7.08 MT compared with the previous year; the change is statistically unusual (Z-score: 6.62).,True
Rajmahal OCP,Jharkhand,ECL,5.47,5.38,12.05,-0.0899999999999998,6.670000000000001,-1.6453382084095038,123.97769516728629,7.633333333333333,3.825210233873863,3,0,6.670000000000001,123.97769516728629,6.228600566333189,6.228600566333189,1,Increase,Highly Unusual,Production increased by 6.67 MT compared with the previous year; the change is statistically unusual (Z-score: 6.23).,True
Gevra,Chhattisgarh,SECL,40.45,52.5,59.11,12.049999999999995,6.609999999999999,29.789864029666248,12.590476190476188,50.68666666666667,9.461238467205725,3,0,6.609999999999999,12.590476190476188,6.170784348571366,6.170784348571366,1,Increase,Highly Unusual,Production increased by 6.61 MT compared with the previous year; the change is statistically unusual (Z-score: 6.17).,True
Bhubaneswari OCP,Odisha,MCL,28.0,30.0,24.24,2.0,-5.760000000000002,7.142857142857142,-19.200000000000006,27.41333333333333,2.9244714622190005,3,0,-5.760000000000002,-19.200000000000006,-5.74899254665767,5.74899254665767,1,Decrease,Highly Unusual,Production decreased by 5.76 MT compared with the previous year; the change is statistically unusual (Z-score: -5.75).,True
Parsa East and Kanta Basan OCM,Chhattisgarh,RRVUNL,,11.8,6.7,,-5.1000000000000005,,-43.22033898305085,9.25,3.606244584051393,2,0,-5.1000000000000005,-43.22033898305085,-5.113014151277623,5.113014151277623,1,Decrease,Highly Unusual,Production decreased by 5.10 MT compared with the previous year; the change is statistically unusual (Z-score: -5.11).,True
Talaipalli Coal Mine,Chhattisgarh,NTPC_TP,,2.4,7.54,,5.140000000000001,,214.1666666666667,4.97,3.6345288552988544,2,0,5.140000000000001,214.1666666666667,4.75428701340672,4.75428701340672,1,Increase,Highly Unusual,Production increased by 5.14 MT compared with the previous year; the change is statistically unusual (Z-score: 4.75).,True
Amrapali OCP,Jharkhand,CCL,16.59,18.0,22.58,1.41,4.579999999999998,8.499095840867994,25.44444444444444,19.05666666666667,3.1316821890692115,3,0,4.579999999999998,25.44444444444444,4.214668980963043,4.214668980963043,1,Increase,Highly Unusual,Production increased by 4.58 MT compared with the previous year; the change is statistically unusual (Z-score: 4.21).,True
Magadh OCP,Jharkhand,CCL,11.5,15.58,20.0,4.08,4.42,35.47826086956522,28.36970474967908,15.693333333333332,4.251133182262505,3,0,4.42,28.36970474967908,4.0604924002648515,4.0604924002648515,1,Increase,Highly Unusual,Production increased by 4.42 MT compared with the previous year; the change is statistically unusual (Z-score: 4.06).,True
Pachhwara Central Coal Mine,Jharkhand,PSPCL,,0.51,4.63,,4.12,,807.8431372549019,2.57,2.9132799384885755,2,0,4.12,807.8431372549019,3.7714113114557404,3.7714113114557404,1,Increase,Highly Unusual,Production increased by 4.12 MT compared with the previous year; the change is statistically unusual (Z-score: 3.77).,True
Jayant Project,Madhya Pradesh,NCL,,26.66,30.0,,3.34,,12.528132033008252,28.33,2.3617366491630687,2,0,3.34,12.528132033008252,3.0198004805520497,3.0198004805520497,1,Increase,Highly Unusual,Production increased by 3.34 MT compared with the previous year; the change is statistically unusual (Z-score: 3.02).,True
