Producing Mine,State,Company,Production_2021_22,Production_2022_23,Production_2023_24,Change_2021_22_to_2022_23,Change_2022_23_to_2023_24,Percentage_Change_21_22_to_22_23,Percentage_Change_22_23_to_23_24,Production_Mean,Production_Std,Observation_Count,Zero_Production_Count,Latest_Production_Change,Latest_Percentage_Change,Missing_2021_22,Missing_2022_23,Missing_2023_24,Data_Sufficient
5/6 Pit KB,Jharkhand,BCCL,0.0,,,,,,,0.0,,1,1,,,0,1,1,0
"6 & 7 Pits Colliery,",Jharkhand,TSL,0.0,,,,,,,0.0,,1,1,,,0,1,1,0
"6 & 7 Pits Colliery,",Jharkhand,TSLJH,,0.0,0.0,,0.0,,,0.0,0.0,2,2,0.0,,1,0,0,1
ABGC,Jharkhand,BCCL,0.24,0.18,0.23,-0.06,0.05000000000000002,-25.0,27.77777777777779,0.21666666666666667,0.03214550253664319,3,0,0.05000000000000002,27.77777777777779,0,0,0,1
AEB Simlabhal,Jharkhand,BCCL,0.0,,,,,,,0.0,,1,1,,,0,1,1,0
AGKCC,Jharkhand,BCCL,0.03,0.14,0.02,0.11000000000000001,-0.12000000000000001,366.66666666666674,-85.71428571428571,0.06333333333333334,0.06658328118479394,3,0,-0.12000000000000001,-85.71428571428571,0,0,0,1
AKK OCP,Jharkhand,CCL,4.24,6.32,5.36,2.08,-0.96,49.056603773584904,-15.189873417721516,5.3066666666666675,1.041025135783634,3,0,-0.96,-15.189873417721516,0,0,0,1
AKWMC,Jharkhand,BCCL,4.2,3.81,3.1,-0.3900000000000001,-0.71,-9.285714285714288,-18.63517060367454,3.703333333333333,0.5577036249956902,3,0,-0.71,-18.63517060367454,0,0,0,1
AMP Colliery,Jharkhand,BCCL,1.49,1.93,4.86,0.43999999999999995,2.9300000000000006,29.530201342281874,151.81347150259072,2.7600000000000002,1.8319115699181554,3,0,2.9300000000000006,151.81347150259072,0,0,0,1
ARA,Jharkhand,CCL,0.0,,,,,,,0.0,,1,1,,,0,1,1,0
ARA Reorganisation,Jharkhand,CCL,0.0,0.0,,0.0,,,,0.0,0.0,2,2,,,0,0,1,1
Aadocm,Jharkhand,CCL,1.88,2.47,2.61,0.5900000000000003,0.13999999999999968,31.382978723404275,5.668016194331971,2.32,0.3874274125562104,3,0,0.13999999999999968,5.668016194331971,0,0,0,1
Adasa,Maharashtra,WCL,0.61,0.24,,-0.37,,-60.65573770491803,,0.425,0.2616295090390226,2,0,,,0,0,1,1
Adasa (UG to OC),Maharashtra,WCL,,,0.72,,,,,0.72,,1,0,,,1,1,0,0
Adriyala Project Area,Telangana,SCCL,1.15,,,,,,,1.15,,1,0,,,0,1,1,0
Adriyala Saft Project,Telangana,SCCL,,1.71,1.47,,-0.24,,-14.035087719298245,1.5899999999999999,0.16970562748477142,2,0,-0.24,-14.035087719298245,1,0,0,1
Amadand,Madhya Pradesh,SECL,0.0,0.87,1.38,0.87,0.5099999999999999,,58.6206896551724,0.75,0.6977822009767803,3,1,0.5099999999999999,58.6206896551724,0,0,0,1
Amagamated Dhansar-Industry,Jharkhand,BCCL,0.55,0.64,0.79,0.08999999999999997,0.15000000000000002,16.36363636363636,23.437500000000004,0.66,0.12124355652982141,3,0,0.15000000000000002,23.437500000000004,0,0,0,1
Amalgamated B OCP,Jharkhand,BCCL,3.7,4.68,,0.9799999999999995,,26.48648648648647,,4.1899999999999995,0.6929646455628162,2,0,,,0,0,1,1
Amalgamated BOCP,Jharkhand,BCCL,,,5.36,,,,,5.36,,1,0,,,1,1,0,0
Amalgamated Gondegaon Ghatrohana,Maharashtra,WCL,,3.5,3.5,,0.0,,0.0,3.5,0.0,2,0,0.0,0.0,1,0,0,1
Amalgamated Inder Kamptee OCM,Maharashtra,WCL,,2.51,3.09,,0.5800000000000001,,23.107569721115542,2.8,0.4101219330881976,2,0,0.5800000000000001,23.107569721115542,1,0,0,1
Amalgamated Yekona I & II,Maharashtra,WCL,2.42,2.75,2.75,0.33000000000000007,0.0,13.63636363636364,0.0,2.64,0.19052558883257653,3,0,0.0,0.0,0,0,0,1
Amalgameted Sudamdih-Patherdih,Jharkhand,BCCL,0.41,0.43,0.41,0.020000000000000018,-0.020000000000000018,4.878048780487809,-4.651162790697678,0.4166666666666667,0.011547005383792525,3,0,-0.020000000000000018,-4.651162790697678,0,0,0,1
Amanand OC,Madhya Pradesh,SECL,1.67,,,,,,,1.67,,1,0,,,0,1,1,0
Amelia (North ) Coal Mine,Madhya Pradesh,JPVL,2.8,3.36,3.92,0.56,0.56,20.000000000000004,16.666666666666668,3.36,0.56,3,0,0.56,16.666666666666668,0,0,0,1
Amelia Coal Block,Madhya Pradesh,THDC,,0.31,1.25,,0.94,,303.2258064516129,0.78,0.6646803743153546,2,0,0.94,303.2258064516129,1,0,0,1
Amera,Chhattisgarh,SECL,0.0,0.0,0.28,0.0,0.28,,,0.09333333333333334,0.16165807537309523,3,2,0.28,,0,0,0,1
Amgaon,Chhattisgarh,SECL,0.0,0.74,1.0,0.74,0.26,,35.13513513513514,0.58,0.5188448708429139,3,1,0.26,35.13513513513514,0,0,0,1
Amlabad,Jharkhand,BCCL,0.0,,,,,,,0.0,,1,1,,,0,1,1,0
Amlai OC,Madhya Pradesh,SECL,1.32,2.03,2.03,0.7099999999999997,0.0,53.78787878787876,0.0,1.793333333333333,0.40991869112463414,3,0,0.0,0.0,0,0,0,1
Amlai UG,Madhya Pradesh,SECL,0.0,,,,,,,0.0,,1,1,,,0,1,1,0
Amlo,Jharkhand,CCL,0.0,,,,,,,0.0,,1,1,,,0,1,1,0
Amlohri,Madhya Pradesh,NCL,14.0,15.0,15.0,1.0,0.0,7.142857142857142,0.0,14.666666666666666,0.5773502691896257,3,0,0.0,0.0,0,0,0,1
Amrapali OCP,Jharkhand,CCL,16.59,18.0,22.58,1.4100000000000001,4.579999999999998,8.499095840867994,25.444444444444436,19.05666666666667,3.1316821890692115,3,0,4.579999999999998,25.444444444444436,0,0,0,1
Amritnagar Colliery,West Bengal,ECL,0.09,0.06,0.05,-0.03,-0.009999999999999995,-33.33333333333333,-16.66666666666666,0.06666666666666667,0.020816659994661323,3,0,-0.009999999999999995,-16.66666666666666,0,0,0,1
Ananta OCP,Odisha,MCL,13.58,17.1,20.0,3.5200000000000014,2.8999999999999986,25.92047128129603,16.959064327485372,16.893333333333334,3.214985743877153,3,0,2.8999999999999986,16.959064327485372,0,0,0,1
Ardhagram,Odisha,OCL,,0.0,,,,,,0.0,,1,1,,,1,0,1,0
Argada,Jharkhand,CCL,0.0,,,,,,,0.0,,1,1,,,0,1,1,0
Ashoka,Jharkhand,CCL,13.13,10.72,9.85,-2.41,-0.870000000000001,-18.354912414318356,-8.115671641791053,11.233333333333334,1.6991860796667724,3,0,-0.870000000000001,-8.115671641791053,0,0,0,1
B' - Seam,Chhattisgarh,SECL,0.0,,,,,,,0.0,,1,1,,,0,1,1,0
B.S.I. UG,Jharkhand,CCL,0.0,,,,,,,0.0,,1,1,,,0,1,1,0
Bachra,Jharkhand,CCL,0.0,,,,,,,0.0,,1,1,,,0,1,1,0
Badjna Colliery,Jharkhand,ECL,0.05,0.09,0.11,0.039999999999999994,0.020000000000000004,79.99999999999999,22.222222222222225,0.08333333333333333,0.030550504633038933,3,0,0.020000000000000004,22.222222222222225,0,0,0,1
Bagadeva,Chhattisgarh,SECL,0.37,,,,,,,0.37,,1,0,,,0,1,1,0
Bagdeva,Chhattisgarh,SECL,,0.34,0.29,,-0.050000000000000044,,-14.705882352941188,0.315,0.03535533905932741,2,0,-0.050000000000000044,-14.705882352941188,1,0,0,1
Bagdigi,Jharkhand,BCCL,0.0,,,,,,,0.0,,1,1,,,0,1,1,0
Bahula Colliery,West Bengal,ECL,0.11,0.05,0.05,-0.06,0.0,-54.54545454545454,0.0,0.07,0.034641016151377546,3,0,0.0,0.0,0,0,0,1
Baiga,Madhya Pradesh,SECL,0.0,,,,,,,0.0,,1,1,,,0,1,1,0
Balanda Colliery,Odisha,MCL,0.0,,,,,,,0.0,,1,1,,,0,1,1,0
Balgi,Chhattisgarh,SECL,0.08,0.07,0.05,-0.009999999999999995,-0.020000000000000004,-12.499999999999993,-28.571428571428577,0.06666666666666667,0.015275252316519466,3,0,-0.020000000000000004,-28.571428571428577,0,0,0,1
Ballarpur 3 & 4 Pits,Maharashtra,WCL,0.09,0.11,0.07,0.020000000000000004,-0.039999999999999994,22.222222222222225,-36.36363636363636,0.09000000000000001,0.019999999999999997,3,0,-0.039999999999999994,-36.36363636363636,0,0,0,1
Ballarpur OCM,Maharashtra,WCL,0.27,0.1,0.63,-0.17,0.53,-62.96296296296296,530.0,0.3333333333333333,0.27061657993059723,3,0,0.53,530.0,0,0,0,1
Balram OCP,Odisha,MCL,6.53,7.74,7.74,1.21,0.0,18.529862174578867,0.0,7.336666666666666,0.6985938257194472,3,0,0.0,0.0,0,0,0,1
Balrampur,Chhattisgarh,SECL,0.04,0.1,0.12,0.060000000000000005,0.01999999999999999,150.0,19.99999999999999,0.08666666666666667,0.041633319989322654,3,0,0.01999999999999999,19.99999999999999,0,0,0,1
Bangwar,Madhya Pradesh,SECL,0.65,0.65,0.65,0.0,0.0,0.0,0.0,0.65,0.0,3,0,0.0,0.0,0,0,0,1
Banki,Chhattisgarh,SECL,0.0,,,,,,,0.0,,1,1,,,0,1,1,0
Bankola Colliery,West Bengal,ECL,0.17,0.19,0.16,0.01999999999999999,-0.03,11.764705882352935,-15.789473684210526,0.17333333333333334,0.015275252316519465,3,0,-0.03,-15.789473684210526,0,0,0,1
Bansdeopur,Jharkhand,BCCL,0.21,,,,,,,0.21,,1,0,,,0,1,1,0
Bansra Colliery,West Bengal,ECL,0.26,0.17,0.13,-0.09,-0.04000000000000001,-34.61538461538461,-23.529411764705884,0.18666666666666668,0.06658328118479394,3,0,-0.04000000000000001,-23.529411764705884,0,0,0,1
Baranj,Maharashtra,KPCL,1.26,1.61,2.5,0.3500000000000001,0.8899999999999999,27.777777777777786,55.27950310559005,1.79,0.6392964883369844,3,0,0.8899999999999999,55.27950310559005,0,0,0,1
Bararee,Jharkhand,BCCL,0.0,,,,,,,0.0,,1,1,,,0,1,1,0
Barjora (North) Coal Mine,West Bengal,WBPDCL,1.03,,,,,,,1.03,,1,0,,,0,1,1,0
Barjora (North) Coal Mine,West Bengal,WBPDCL_BN,,2.01,1.12,,-0.8899999999999997,,-44.27860696517412,1.565,0.6293250352560271,2,0,-0.8899999999999997,-44.27860696517412,1,0,0,1
Barjora Coal Mine,West Bengal,WBPDCL,0.32,,,,,,,0.32,,1,0,,,0,1,1,0
Barjora Coal Mine,West Bengal,WBPDCL_B,,0.5,0.5,,0.0,,0.0,0.5,0.0,2,0,0.0,0.0,1,0,0,1
Barkui,Madhya Pradesh,WCL,0.13,,,,,,,0.13,,1,0,,,0,1,1,0
Barmuri,Jharkhand,ECL,0.41,0.5,0.51,0.09000000000000002,0.010000000000000009,21.95121951219513,2.0000000000000018,0.47333333333333333,0.05507570547286104,3,0,0.010000000000000009,2.0000000000000018,0,0,0,1
Baroud,Chhattisgarh,SECL,2.52,,,,,,,2.52,,1,0,,,0,1,1,0
Baroud OC,Chhattisgarh,SECL,,3.5,4.2,,0.7000000000000002,,20.000000000000004,3.85,0.4949747468305834,2,0,0.7000000000000002,20.000000000000004,1,0,0,1
Bartarai,Madhya Pradesh,SECL,0.17,0.16,0.17,-0.010000000000000009,0.010000000000000009,-5.8823529411764754,6.250000000000005,0.16666666666666666,0.005773502691896262,3,0,0.010000000000000009,6.250000000000005,0,0,0,1
Bartunga Hill,Chhattisgarh,SECL,,,0.08,,,,,0.08,,1,0,,,1,1,0,0
Basantimata -Dahibari,Jharkhand,BCCL,0.78,0.63,0.55,-0.15000000000000002,-0.07999999999999996,-19.230769230769234,-12.698412698412692,0.6533333333333334,0.1167618659209133,3,0,-0.07999999999999996,-12.698412698412692,0,0,0,1
Basdeopur,Jharkhand,BCCL,,0.14,0.14,,0.0,,0.0,0.14,0.0,2,0,0.0,0.0,1,0,0,1
Bastacolla,Jharkhand,BCCL,1.42,1.81,2.1,0.3900000000000001,0.29000000000000004,27.464788732394375,16.022099447513813,1.7766666666666666,0.3412232895529457,3,0,0.29000000000000004,16.022099447513813,0,0,0,1
Basundhara (West),Odisha,MCL,1.0,0.95,,-0.050000000000000044,,-5.000000000000004,,0.975,0.03535533905932741,2,0,,,0,0,1,1
Basundhara (West) OCP,Odisha,MCL,,,1.43,,,,,1.43,,1,0,,,1,1,0,0
Basuriya,Jharkhand,BCCL,0.0,,,,,,,0.0,,1,1,,,0,1,1,0
Behraband,Madhya Pradesh,SECL,0.42,0.56,0.6,0.14000000000000007,0.039999999999999925,33.33333333333336,7.142857142857128,0.5266666666666667,0.09451631252505217,3,0,0.039999999999999925,7.142857142857128,0,0,0,1
Bejdih Colliery,West Bengal,ECL,0.03,0.04,0.04,0.010000000000000002,0.0,33.33333333333334,0.0,0.036666666666666674,0.005773502691896259,3,0,0.0,0.0,0,0,0,1
Belampalli OC-II,Telangana,SCCL,0.09,,,,,,,0.09,,1,0,,,0,1,1,0
Belbaid Colliery,West Bengal,ECL,0.05,0.04,0.04,-0.010000000000000002,0.0,-20.000000000000004,0.0,0.043333333333333335,0.005773502691896258,3,0,0.0,0.0,0,0,0,1
Belgaon Coal Mine,Maharashtra,SIL,,0.19,0.15,,-0.04000000000000001,,-21.052631578947373,0.16999999999999998,0.02828427124746191,2,0,-0.04000000000000001,-21.052631578947373,1,0,0,1
Belgaon UG Coal Mine,Maharashtra,SIL,0.17,,,,,,,0.17,,1,0,,,0,1,1,0
Bellora Naigaon Deep,Maharashtra,WCL,0.94,,,,,,,0.94,,1,0,,,0,1,1,0
Belpahar OCP,Odisha,MCL,7.25,7.51,,0.2599999999999998,,3.586206896551721,,7.38,0.1838477631085022,2,0,,,0,0,1,1
Bera,Jharkhand,BCCL,0.01,,,,,,,0.01,,1,0,,,0,1,1,0
Bhadra,Madhya Pradesh,SECL,0.1,0.13,0.1,0.03,-0.03,30.0,-23.076923076923077,0.11,0.017320508075688773,3,0,-0.03,-23.076923076923077,0,0,0,1
Bhagabandh,Jharkhand,BCCL,0.0,,,,,,,0.0,,1,1,,,0,1,1,0
