Mine Name,Company Name,State,District,Coalfield,Area,Mine Type,Ownership,CAAQMS_Source_Name,Environmental_Risk_Score,Environmental_Anomaly,Environmental_Record_Count,Environmental_Available,Producing Mine,Production_ZScore,Production_Anomaly,Data_Sufficient,Operational_Available,Safety_Evidence_Available,Safety_Evidence_Note,Evidence_Coverage,Evidence_Status,Confidence_Score,Confidence_Category,Mine_Type,Peer_Production_ZScore,Peer_Production_Anomaly,Peer_Operational_Risk,Peer_Production_Category,Peer_Production_Direction,Historical_Operational_Risk,Operational_Risk_Score,Safety_Risk_Score,Overall_Risk_Score,Risk_Category,Risk_Drivers,AI_Recommendation,Peer_Context_Explanation,Risk_Score_Type
ABGC,BCCL,Jharkhand,DHANBAD,Jharia,Govindpur,Opencast,PUBLIC,,,0,,0,ABGC,-0.1504554600545405,0,True,1,0,Mine-level safety evidence unavailable; available accident data is state/year level.,50.0,Operational Only,60.0,Moderate,Opencast,-0.4975341139583024,0,12.43835284895756,Normal,Lower than peer average,3.7613865013635124,3.7613865013635124,,3.7613865013635124,LOW,No major risk indicator,No Immediate High-Risk Indicator Detected,No unusual peer-group production pattern detected.,Prototype AI risk indicator - not an official regulatory classification
AGKCC,BCCL,Jharkhand,DHANBAD,Jharia,Katras,Opencast,PUBLIC,,,0,,0,AGKCC,-0.3142680770463704,0,True,1,0,Mine-level safety evidence unavailable; available accident data is state/year level.,50.0,Operational Only,60.0,Moderate,Opencast,-0.5237988263321375,0,13.094970658303437,Normal,Lower than peer average,7.85670192615926,7.85670192615926,,7.85670192615926,LOW,No major risk indicator,No Immediate High-Risk Indicator Detected,No unusual peer-group production pattern detected.,Prototype AI risk indicator - not an official regulatory classification
AKK OCP,CCL,Jharkhand,BOKARO,E. Bokaro,B & K Area,Opencast,PUBLIC,,,0,,0,AKK OCP,-1.1236951257118828,0,True,1,0,Mine-level safety evidence unavailable; available accident data is state/year level.,50.0,Operational Only,60.0,Moderate,Opencast,0.1504971548038198,0,3.762428870095495,Normal,Higher than peer average,28.09237814279707,28.09237814279707,,28.09237814279707,LOW,No major risk indicator,No Immediate High-Risk Indicator Detected,No unusual peer-group production pattern detected.,Prototype AI risk indicator - not an official regulatory classification
AKWMC,BCCL,Jharkhand,DHANBAD,Jharia,Katras,Opencast,PUBLIC,,,0,,0,AKWMC,-0.8827942183709565,0,True,1,0,Mine-level safety evidence unavailable; available accident data is state/year level.,50.0,Operational Only,60.0,Moderate,Opencast,-0.1348790469503493,0,3.3719761737587346,Normal,Lower than peer average,22.069855459273914,22.069855459273914,,22.069855459273914,LOW,No major risk indicator,No Immediate High-Risk Indicator Detected,No unusual peer-group production pattern detected.,Prototype AI risk indicator - not an official regulatory classification
AMP Colliery,BCCL,Jharkhand,DHANBAD,Jharia,Barora,Mixed,PUBLIC,,,0,,0,AMP Colliery,2.624722992512932,1,True,1,0,Mine-level safety evidence unavailable; available accident data is state/year level.,50.0,Operational Only,60.0,Moderate,Mixed,3.2938574637135805,1,82.34643659283951,Highly Unusual,Higher than peer average,65.6180748128233,65.6180748128233,,65.6180748128233,HIGH,"Operational indicator, Peer production anomaly",Further Assessment Required,Production is higher than peer average compared with the Mixed peer group.,Prototype AI risk indicator - not an official regulatory classification
ARA Reorganisation,CCL,Jharkhand,RAMGARH,W.Bokaro,Kuju,Opencast,PUBLIC,,,0,,0,,,0,,0,0,Mine-level safety evidence unavailable; available accident data is state/year level.,0.0,No Evidence,0.0,Insufficient Evidence,Opencast,-0.5263242794450063,0,13.158106986125157,Normal,Lower than peer average,,,,,Insufficient Evidence,No major risk indicator,Insufficient Evidence for Risk Assessment,No unusual peer-group production pattern detected.,Prototype AI risk indicator - not an official regulatory classification
Aadocm,CCL,Jharkhand,BOKARO,E. Bokaro,Dhori Area,Opencast,PUBLIC,,,0,,0,Aadocm,-0.0637311334118074,0,True,1,0,Mine-level safety evidence unavailable; available accident data is state/year level.,50.0,Operational Only,60.0,Moderate,Opencast,-0.1963738302487035,0,4.909345756217589,Normal,Lower than peer average,1.5932783352951851,1.5932783352951851,,1.5932783352951851,LOW,No major risk indicator,No Immediate High-Risk Indicator Detected,No unusual peer-group production pattern detected.,Prototype AI risk indicator - not an official regulatory classification
Adasa (UG to OC),WCL,Maharashtra,NAGPUR,Kamptee/Silewara,Nagpur,Opencast,PUBLIC,,,0,,0,,,0,,0,0,Mine-level safety evidence unavailable; available accident data is state/year level.,0.0,No Evidence,0.0,Insufficient Evidence,Opencast,-0.4360393306599483,0,10.900983266498708,Normal,Lower than peer average,,,,,Insufficient Evidence,No major risk indicator,Insufficient Evidence for Risk Assessment,No unusual peer-group production pattern detected.,Prototype AI risk indicator - not an official regulatory classification
Adriyala Saft Project,SCCL,Telangana,PEDDAPALLI,Godavari Valley,Adriyala,Underground,PUBLIC,,,0,,0,Adriyala Saft Project,-0.429900512570015,0,True,1,0,Mine-level safety evidence unavailable; available accident data is state/year level.,50.0,Operational Only,60.0,Moderate,Underground,3.813245088748936,1,95.3311272187234,Highly Unusual,Higher than peer average,10.747512814250374,10.747512814250374,,10.747512814250374,LOW,Peer production anomaly,No Immediate High-Risk Indicator Detected,Production is higher than peer average compared with the Underground peer group.,Prototype AI risk indicator - not an official regulatory classification
Amadand,SECL,Madhya Pradesh,SHAHDOL,Central India,Jamuna & Kotma,Opencast,PUBLIC,,,0,,0,Amadand,0.2928022094527638,0,True,1,0,Mine-level safety evidence unavailable; available accident data is state/year level.,50.0,Operational Only,60.0,Moderate,Opencast,-0.3520680146570622,0,8.801700366426555,Normal,Lower than peer average,7.320055236319095,7.320055236319095,,7.320055236319095,LOW,No major risk indicator,No Immediate High-Risk Indicator Detected,No unusual peer-group production pattern detected.,Prototype AI risk indicator - not an official regulatory classification
