Company Name,Area Name,Mine Name,Creation datetime,Record time,PM - 2.5 (µg/m3),PM - 10 (µg/m3),SO2 (µg/m3),NO2  (µg/m3),CO (mg/m3),Device ID,Created by
South Eastern Coalfields Limited,Dipka Area,M/s Dipka Expansion Project South Eastern Coal Fields Limited Dipka Area,30-AUG-2026 22:30,30-AUG-2026 17:00,14.09,20.21,38.60,,0.51,site_5664,Thermo Fisher Scientific India Private Limited
South Eastern Coalfields Limited,Dipka Area,M/s Dipka Expansion Project South Eastern Coal Fields Limited Dipka Area,30-AUG-2026 22:29,30-AUG-2026 16:59,14.50,19.86,37.28,,0.55,site_5664,Thermo Fisher Scientific India Private Limited
South Eastern Coalfields Limited,Dipka Area,M/s Dipka Expansion Project South Eastern Coal Fields Limited Dipka Area,30-AUG-2026 22:29,30-AUG-2026 16:59,14.99,19.68,30.07,,0.59,site_5664,Thermo Fisher Scientific India Private Limited
South Eastern Coalfields Limited,Dipka Area,M/s Dipka Expansion Project South Eastern Coal Fields Limited Dipka Area,30-AUG-2026 22:28,30-AUG-2026 16:58,15.38,19.49,32.60,,0.61,site_5664,Thermo Fisher Scientific India Private Limited
South Eastern Coalfields Limited,Dipka Area,M/s Dipka Expansion Project South Eastern Coal Fields Limited Dipka Area,30-AUG-2026 22:28,30-AUG-2026 16:58,15.78,19.41,38.04,,0.66,site_5664,Thermo Fisher Scientific India Private Limited
South Eastern Coalfields Limited,Dipka Area,M/s Dipka Expansion Project South Eastern Coal Fields Limited Dipka Area,30-AUG-2026 22:27,30-AUG-2026 16:57,16.36,19.35,35.08,,0.67,site_5664,Thermo Fisher Scientific India Private Limited
South Eastern Coalfields Limited,Dipka Area,M/s Dipka Expansion Project South Eastern Coal Fields Limited Dipka Area,30-AUG-2026 22:27,30-AUG-2026 16:57,16.83,19.32,31.61,,0.76,site_5664,Thermo Fisher Scientific India Private Limited
South Eastern Coalfields Limited,Dipka Area,M/s Dipka Expansion Project South Eastern Coal Fields Limited Dipka Area,30-AUG-2026 22:26,30-AUG-2026 16:56,17.34,19.26,32.70,,0.78,site_5664,Thermo Fisher Scientific India Private Limited
South Eastern Coalfields Limited,Dipka Area,M/s Dipka Expansion Project South Eastern Coal Fields Limited Dipka Area,30-AUG-2026 22:26,30-AUG-2026 16:56,17.68,19.21,35.77,,0.68,site_5664,Thermo Fisher Scientific India Private Limited
South Eastern Coalfields Limited,Dipka Area,M/s Dipka Expansion Project South Eastern Coal Fields Limited Dipka Area,30-AUG-2026 22:25,30-AUG-2026 16:55,18.00,19.14,34.50,,0.54,site_5664,Thermo Fisher Scientific India Private Limited
South Eastern Coalfields Limited,"Gevra , Chattisgarh",SECL GEVRA,30-AUG-2026 22:25,30-AUG-2026 22:15,44.50,79.71,13.94,10.27,0.94,site_,Envea India Pvt Ltd
South Eastern Coalfields Limited,"Gevra , Chattisgarh",SECL GEVRA,30-AUG-2026 22:25,30-AUG-2026 22:15,44.50,79.71,13.94,10.27,0.94,site_,Envea India Pvt Ltd
South Eastern Coalfields Limited,Dipka Area,M/s Dipka Expansion Project South Eastern Coal Fields Limited Dipka Area,30-AUG-2026 22:25,30-AUG-2026 16:55,17.98,19.12,33.49,,0.56,site_5664,Thermo Fisher Scientific India Private Limited
South Eastern Coalfields Limited,Dipka Area,M/s Dipka Expansion Project South Eastern Coal Fields Limited Dipka Area,30-AUG-2026 22:24,30-AUG-2026 16:54,17.73,19.01,38.04,,0.51,site_5664,Thermo Fisher Scientific India Private Limited
South Eastern Coalfields Limited,Dipka Area,M/s Dipka Expansion Project South Eastern Coal Fields Limited Dipka Area,30-AUG-2026 22:24,30-AUG-2026 16:54,17.66,18.96,33.56,,0.50,site_5664,Thermo Fisher Scientific India Private Limited
South Eastern Coalfields Limited,Dipka Area,M/s Dipka Expansion Project South Eastern Coal Fields Limited Dipka Area,30-AUG-2026 22:23,30-AUG-2026 16:53,17.55,19.03,33.84,,0.47,site_5664,Thermo Fisher Scientific India Private Limited
South Eastern Coalfields Limited,Dipka Area,M/s Dipka Expansion Project South Eastern Coal Fields Limited Dipka Area,30-AUG-2026 22:23,30-AUG-2026 16:53,17.40,19.20,33.08,,0.29,site_5664,Thermo Fisher Scientific India Private Limited
South Eastern Coalfields Limited,Dipka Area,M/s Dipka Expansion Project South Eastern Coal Fields Limited Dipka Area,30-AUG-2026 22:22,30-AUG-2026 16:52,17.40,19.41,34.91,,0.24,site_5664,Thermo Fisher Scientific India Private Limited
South Eastern Coalfields Limited,Dipka Area,M/s Dipka Expansion Project South Eastern Coal Fields Limited Dipka Area,30-AUG-2026 22:22,30-AUG-2026 16:52,17.51,19.55,42.51,,0.18,site_5664,Thermo Fisher Scientific India Private Limited
