Year,State,Company,Producing Mine,Production (in MT)
2021-22,Chhattisgarh,AMBUJA,GP-IV-8 Coal Mine,0.78
2021-22,Madhya Pradesh,APMDCL,Suliyari,0.02
2021-22,Maharashtra,BSIL,Marki Mangli III,0.13
2021-22,Chhattisgarh,BALCO,Chotia Coal Mine,0.00
2021-22,Jharkhand,BCCL,Damoda,0.45
2021-22,Jharkhand,BCCL,AMP Colliery,1.49
2021-22,Jharkhand,BCCL,Phularitand,0.00
2021-22,Jharkhand,BCCL,Madhuban,0.00
2021-22,Jharkhand,BCCL,Muraidih OCP,0.00
2021-22,Jharkhand,BCCL,Amalgamated B OCP,3.70
2021-22,Jharkhand,BCCL,Kharkharee,0.00
2021-22,Jharkhand,BCCL,Maheshpur,0.03
2021-22,Jharkhand,BCCL,Jogidih,0.02
2021-22,Jharkhand,BCCL,ABGC,0.24
2021-22,Jharkhand,BCCL,NAKC,0.50
2021-22,Jharkhand,BCCL,Dharmabandh/S.Govindpur/Teturiya,0.00
2021-22,Jharkhand,BCCL,Salanpur,0.02
2021-22,Jharkhand,BCCL,AKWMC,4.20
2021-22,Jharkhand,BCCL,E.Katras,0.00
2021-22,Jharkhand,BCCL,AGKCC,0.03
2021-22,Jharkhand,BCCL,Mudidih,0.00
2021-22,Jharkhand,BCCL,Kankanee,0.04
2021-22,Jharkhand,BCCL,Sendra Bansjora,1.21
2021-22,Jharkhand,BCCL,Nichitpur,1.73
2021-22,Jharkhand,BCCL,Tetulmari,0.24
2021-22,Jharkhand,BCCL,Bansdeopur,0.21
2021-22,Jharkhand,BCCL,Mudidih,0.00
2021-22,Jharkhand,BCCL,Loyabad,0.00
2021-22,Jharkhand,BCCL,E. Bassuriya,0.16
2021-22,Jharkhand,BCCL,Gondudih/K.Kusunda,2.32
2021-22,Jharkhand,BCCL,New Godhur-Kusunda-Alkusa,1.02
2021-22,Jharkhand,BCCL,Amagamated Dhansar-Industry,0.55
2021-22,Jharkhand,BCCL,Ena,1.00
2021-22,Jharkhand,BCCL,Basuriya,0.00
2021-22,Jharkhand,BCCL,KB-10/12 Pit,0.00
2021-22,Jharkhand,BCCL,P.B.Project,0.00
2021-22,Jharkhand,BCCL,Gopalichuck,0.23
2021-22,Jharkhand,BCCL,Bhagabandh,0.00
2021-22,Jharkhand,BCCL,Kenduadih,0.00
2021-22,Jharkhand,BCCL,Buragarh,0.00
2021-22,Jharkhand,BCCL,Hurrlidih,0.00
2021-22,Jharkhand,BCCL,5/6 Pit KB,0.00
2021-22,Jharkhand,BCCL,Bastacolla,1.42
2021-22,Jharkhand,BCCL,Bera,0.01
2021-22,Jharkhand,BCCL,Kuya,2.59
2021-22,Jharkhand,BCCL,ROCP/S. Jharia,1.09
2021-22,Jharkhand,BCCL,AEB Simlabhal,0.00
2021-22,Jharkhand,BCCL,Dobari,0.00
2021-22,Jharkhand,BCCL,Ghanoodih,0.00
2021-22,Jharkhand,BCCL,NTST-Jeenagora,3.81
2021-22,Jharkhand,BCCL,Kujama,0.00
2021-22,Jharkhand,BCCL,Joyrampur,0.00
2021-22,Jharkhand,BCCL,Bararee,0.00
2021-22,Jharkhand,BCCL,Bagdigi,0.00
2021-22,Jharkhand,BCCL,Bhowra(S),0.26
2021-22,Jharkhand,BCCL,Bhowra(N),0.00
2021-22,Jharkhand,BCCL,Amalgameted Sudamdih-Patherdih,0.41
2021-22,Jharkhand,BCCL,Amlabad,0.00
2021-22,Jharkhand,BCCL,Basantimata -Dahibari,0.78
2021-22,West Bengal,BCCL,Damagoria OCP,0.16
2021-22,Jharkhand,BCCL,Moonidih,0.59
2021-22,Jharkhand,CCL,Bhurkunda,0.00
2021-22,Jharkhand,CCL,Bhurkunda (Sangum),0.00
2021-22,Jharkhand,CCL,Saunda-D,0.00
2021-22,Jharkhand,CCL,Saunda-D,0.00
2021-22,Jharkhand,CCL,Central Saunda,0.00
2021-22,Jharkhand,CCL,Saunda (Ncdc),0.00
2021-22,Jharkhand,CCL,Sayal `D',0.00
2021-22,Jharkhand,CCL,Urimari,0.00
2021-22,Jharkhand,CCL,Urimari,0.75
2021-22,Jharkhand,CCL,North Urimari/Birsa-OC,3.60
2021-22,Jharkhand,CCL,Gidi `A',0.23
2021-22,Jharkhand,CCL,Gidi `C',0.33
2021-22,Jharkhand,CCL,Religara,0.50
2021-22,Jharkhand,CCL,Religara,0.00
2021-22,Jharkhand,CCL,Sirka,0.00
2021-22,Jharkhand,CCL,Sirka,0.00
2021-22,Jharkhand,CCL,Argada,0.00
2021-22,Jharkhand,CCL,Manki/Churi,0.58
2021-22,Jharkhand,CCL,Dakra Bukbuka,0.55
2021-22,Jharkhand,CCL,K. Dewarkhand,0.95
2021-22,Jharkhand,CCL,Purnadih,0.40
2021-22,Jharkhand,CCL,Karkatta,0.00
2021-22,Jharkhand,CCL,Rohini,0.68
2021-22,Jharkhand,CCL,Rajhara,0.00
2021-22,Jharkhand,CCL,Tetaria Khar,1.02
2021-22,Jharkhand,CCL,Hutar Tetaria Khar,0.00
2021-22,Jharkhand,CCL,Bachra,0.00
2021-22,Jharkhand,CCL,Piparwar,0.00
2021-22,Jharkhand,CCL,Ashoka,13.13
2021-22,Jharkhand,CCL,Magadh OCP,11.50
2021-22,Jharkhand,CCL,Amrapali OCP,16.59
2021-22,Jharkhand,CCL,Rajrappa Project,0.88
2021-22,Jharkhand,CCL,Sarubera Colliery,0.00
2021-22,Jharkhand,CCL,Chainpur(Sarubera) Colly.,0.00
2021-22,Jharkhand,CCL,ARA,0.00
2021-22,Jharkhand,CCL,ARA Reorganisation,0.00
2021-22,Jharkhand,CCL,Kuju Colliery,0.00
2021-22,Jharkhand,CCL,Kuju Colliery,0.00
2021-22,Jharkhand,CCL,Hesagoda,0.00
2021-22,Jharkhand,CCL,Topa Marginal Scheme,0.44
2021-22,Jharkhand,CCL,Topa Colliery,0.00
2021-22,Jharkhand,CCL,Pindra Colliery,0.00
2021-22,Jharkhand,CCL,Pindra Colliery,0.00
2021-22,Jharkhand,CCL,Pundi,0.00
2021-22,Jharkhand,CCL,Karma,0.83
2021-22,Jharkhand,CCL,Parej East OCP,0.40
2021-22,Jharkhand,CCL,Kedla,0.01
2021-22,Jharkhand,CCL,Kedla,0.00
2021-22,Jharkhand,CCL,Tapin North,1.50
2021-22,Jharkhand,CCL,Tapin South,0.85
2021-22,Jharkhand,CCL,Jharkhand OCP,0.50
2021-22,Jharkhand,CCL,Laiyo,0.00
2021-22,Jharkhand,CCL,Bokaro OC (Bermo),0.15
2021-22,Jharkhand,CCL,Kargali OC,0.00
2021-22,Jharkhand,CCL,B.S.I. UG,0.00
2021-22,Jharkhand,CCL,Karo-I OC,2.75
2021-22,Jharkhand,CCL,AKK OCP,4.24
2021-22,Jharkhand,CCL,Karo-I UG(Karo Seam),0.00
2021-22,Jharkhand,CCL,Khasmahal OC,0.00
2021-22,Jharkhand,CCL,Khasmahal UG,0.00
2021-22,Jharkhand,CCL,Karo SPL UG,0.00
2021-22,Jharkhand,CCL,Kabribad OC,0.00
2021-22,Jharkhand,CCL,Giridih OC,0.10
2021-22,Jharkhand,CCL,Konar OCP,0.00
2021-22,Jharkhand,CCL,Giridih UG,0.00
2021-22,Jharkhand,CCL,Aadocm,1.88
2021-22,Jharkhand,CCL,Amlo,0.00
2021-22,Jharkhand,CCL,Dhore East OC,0.00
2021-22,Jharkhand,CCL,SD OC Mine,1.95
2021-22,Jharkhand,CCL,Tarmi,0.00
2021-22,Jharkhand,CCL,"New Select Dhori,",0.00
2021-22,Jharkhand,CCL,Sel.Dhori OC(Q.N.1),0.00
2021-22,Jharkhand,CCL,"Sel.Dhori OC(SDQ-1, OC)",0.00
2021-22,Jharkhand,CCL,Dhori Khas(OC),0.00
2021-22,Jharkhand,CCL,Dhori Khas(UG),0.13
2021-22,Jharkhand,CCL,Kathara Colly.,0.14
2021-22,Jharkhand,CCL,Jarangdih OC.,0.37
2021-22,Jharkhand,CCL,Jarangdih UG.,0.00
2021-22,Jharkhand,CCL,NEW SWANG COLLY.,0.89
2021-22,Jharkhand,CCL,Sawang Colliery,0.00
2021-22,Jharkhand,CCL,"Govindpur,",0.03
